"filename", "language", "Dart", "comment", "blank", "total"
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/category/components/category_widget.dart", "Dart", 148, 0, 6, 154
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/category/components/filter_chips.dart", "Dart", 104, 0, 6, 110
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/category/components/header_phone.dart", "Dart", 44, 0, 4, 48
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/category/components/simmer/category_shwimar.dart", "Dart", 124, 0, 6, 130
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/category/components/simmer/image_shwimmer.dart", "Dart", 17, 0, 3, 20
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/category/components/small_list.dart", "Dart", 32, 12, 5, 49
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/category_list/category_list_screen.dart", "Dart", 40, 0, 5, 45
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/category_list/components/body.dart", "Dart", 118, 2, 7, 127
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/category_list/components/build_body.dart", "Dart", 84, 1, 8, 93
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/category_list/components/category_widget.dart", "Dart", 62, 0, 5, 67
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/category_list/components/header.dart", "Dart", 70, 0, 4, 74
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/category_list/components/header_phone.dart", "Dart", 56, 8, 4, 68
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/category_list/components/ripple_button.dart", "Dart", 44, 0, 4, 48
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/category_list/components/simmer/category_shwimar.dart", "Dart", 43, 0, 3, 46
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/category_list/components/simmer/image_shwimmer.dart", "Dart", 17, 0, 3, 20
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/category_list/components/small_category_list.dart", "Dart", 42, 1, 6, 49
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/home/components/body.dart", "Dart", 39, 1, 4, 44
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/home/components/category_card.dart", "Dart", 56, 2, 4, 62
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/home/components/category_gride_card.dart", "Dart", 46, 5, 4, 55
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/home/components/horizantal_category_list.dart", "Dart", 123, 4, 7, 134
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/home/components/horizantal_shwimer.dart", "Dart", 60, 1, 5, 66
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/home/components/horizantal_shwimer_category.dart", "Dart", 54, 1, 5, 60
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/home/components/horizantal_shwimer_section.dart", "Dart", 75, 7, 5, 87
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/home/components/horizantal_song_list.dart", "Dart", 115, 5, 9, 129
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/home/components/horizantal_song_list_test.dart", "Dart", 93, 5, 5, 103
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/home/components/offer_carusal.dart", "Dart", 99, 0, 5, 104
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/home/components/section_list.dart", "Dart", 78, 4, 8, 90
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/home/components/section_title.dart", "Dart", 35, 0, 4, 39
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/home/components/shimer_gride_style1.dart", "Dart", 34, 0, 3, 37
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/home/components/shimer_slider.dart", "Dart", 72, 1, 8, 81
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/home/home_screen.dart", "Dart", 25, 0, 4, 29
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/image/components/body.dart", "Dart", 18, 0, 4, 22
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/image/image_screen.dart", "Dart", 35, 0, 5, 40
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/main/main_screen.dart", "Dart", 124, 7, 9, 140
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/offer/components/body.dart", "Dart", 98, 1, 5, 104
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/offer/components/build_body.dart", "Dart", 62, 1, 8, 71
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/offer/components/header_phone.dart", "Dart", 65, 8, 4, 77
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/offer/components/image_shwimmer.dart", "Dart", 17, 0, 3, 20
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/offer/components/offer_gride.dart", "Dart", 0, 37, 6, 43
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/offer/components/offer_image.dart", "Dart", 31, 0, 5, 36
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/offer/components/offer_widget.dart", "Dart", 77, 5, 6, 88
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/offer/components/simmer/image_shwimmer.dart", "Dart", 17, 0, 3, 20
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/offer/components/simmer/offer_shwimar.dart", "Dart", 81, 3, 9, 93
